UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,COSTT4_A,TUITFTE,PCIP01,PCIP11,PCIP15,PCIP43,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52
172866,2050300,20503,Academy College,Bloomington,MN,55431-1411,www.academycollege.edu,academycollege.edu/financial-aid/other-resources,30480,17216,1,1042,1,1,1,1,1,1.5625,1.0417,1.0833,1.2083
172918,554400,5544,Alexandria Technical & Community College,Alexandria,MN,56308,www.alextech.edu,www.alextech.edu/calculator,17866,3672,0,0.0204,0.0419,0.2986,0.0215,0.0735,0.0713,0.0362,0.0305,0.2002,0.0713
172927,2514100,25141,American Indian OIC Inc,Minneapolis,MN,55404-2221,www.aioic.org,takoda.aioic.edu/learn-more/costs-price-calculator/#.Vi5wKberTcs,NULL,39,0,0.3025,0,0,0,0,0,0,0,0.4454,0.042
172954,735000,7350,Anoka Technical College,Anoka,MN,55303,www.anokatech.edu,www.anokatech.edu/BecomeStudent/TuitionFees/Net%20Price%20Calculator.aspx,16825,2713,0.0066,0,0.1034,0,0.0213,0.0148,0.133,0,0,0.5846,0.0624
172963,233200,2332,Anoka-Ramsey Community College,Coon Rapids,MN,55433-3470,www.anokaramsey.edu,www.anokaramsey.edu/cost-aid/net-price-calculator/,14621,3141,0,0.0497,0.0142,0,0,0,0,0,0.0204,0.2345,0.1146
17296301,233201,2332,Anoka-Ramsey Community College-Cambridge Campus,Cambridge,MN,550085704,www.anokaramsey.edu/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173984,2179901,21799,Argosy University-Twin Cities,Eagan,MN,55121,www.argosy.edu/twincities/,tcc.noellevitz.com/edmc/Argosy University Net Price Calculator,23521,14151,0,0.0035,0,0.0177,0,0,0,0,0,0.8759,0.0248
457679,4160500,41605,Avalon School of Cosmetology,Worthington,MN,56187,avaloncosmetologyschool.com,avaloncosmetologyschool.com/financial3.html,NULL,2142,0,0,0,0,0,0,0,0,0,0,0
173744,2123200,21232,Aveda Institute-Minneapolis,Minneapolis,MN,55414,aveda.edu/minneapolis,aveda.edu/minneapolis,NULL,11988,0,0,0,0,0,0,0,0,0,0.1662,0
457651,4148800,41488,CenterPoint Massage and Shiatsu Therapy School and Clinic,St Louis Park,MN,55416,centerpointmn.com,centerpointmn.com/NetPriceCalculator/npcalc.htm,NULL,14345,0,0,0,0,0,0,0,0,0,1,0
